Hey Jude,The Beatles
(Sittin' On) The Dock of the Bay,Otis Redding
I Want to Hold Your Hand,The Beatles
Like a Rolling Stone,Bob Dylan
Respect,Aretha Franklin
I Can't Get No Satisfaction,The Rolling Stones
My Girl,The Temptations
Yesterday,The Beatles
A Day in the Life,The Beatles
Good Vibrations,The Beach Boys
What a Wonderful World,Louis Armstrong
House of the Rising Sun,The Animals
Blowin' in the Wind,Bob Dylan
Stand By Me,Ben E. King
Let It Be,The Beatles
In the Midnight Hour,Wilson Pickett
Help!,The Beatles
Twist and Shout,The Beatles
California Dreamin',The Mamas & the Papas
I Heard It Through the Grapevine,Marvin Gaye
Can't Help Falling in Love,Elvis Presley
Brown Eyed Girl,Van Morrison
I Say a Little Prayer,Aretha Franklin
Under the Boardwalk,The Drifters
Johnny B. Goode,Chuck Berry
I'm a Believer,The Monkees
My Generation,The Who
Born to Be Wild,Steppenwolf
For Once in My Life,Stevie Wonder
All Along the Watchtower,The Jimi Hendrix Experience
Suspicious Minds,Elvis Presley
A Whiter Shade of Pale,Procol Harum
Dancing in the Street,Martha and the Vandellas
Light My Fire,The Doors
Somebody to Love,Jefferson Airplane
Unchained Melody,The Righteous Brothers
Be My Baby,The Ronettes
